
########################################################################
#      Date:           Mon 26 Dec 2022 08:37:44 PM PST
#    Job ID:           2105886.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 512
Supported Sub-Group Sizes : 8 16 32 
nonzero: 2570000, numRows: 10000, mean: 257, LightSpMV2: 0.00203087 sec.
nonzero: 2570000, numRows: 10000, mean: 257, LightSpMV4: 0.00164972 sec.
nonzero: 2570000, numRows: 10000, mean: 257, LightSpMV8: 0.00157984 sec.
nonzero: 2570000, numRows: 10000, mean: 257, LightSpMV16: 0.0016835 sec.
nonzero: 2570000, numRows: 10000, mean: 257, LightSpMV32: 0.00202371 sec.
nonzero: 2580000, numRows: 10000, mean: 258, LightSpMV2: 0.00201654 sec.
nonzero: 2580000, numRows: 10000, mean: 258, LightSpMV4: 0.00162916 sec.
nonzero: 2580000, numRows: 10000, mean: 258, LightSpMV8: 0.00156526 sec.
nonzero: 2580000, numRows: 10000, mean: 258, LightSpMV16: 0.00167131 sec.
nonzero: 2580000, numRows: 10000, mean: 258, LightSpMV32: 0.00200783 sec.
nonzero: 2590000, numRows: 10000, mean: 259, LightSpMV2: 0.00206706 sec.
nonzero: 2590000, numRows: 10000, mean: 259, LightSpMV4: 0.00165413 sec.
nonzero: 2590000, numRows: 10000, mean: 259, LightSpMV8: 0.00159945 sec.
nonzero: 2590000, numRows: 10000, mean: 259, LightSpMV16: 0.00170617 sec.
nonzero: 2590000, numRows: 10000, mean: 259, LightSpMV32: 0.00205765 sec.
nonzero: 2600000, numRows: 10000, mean: 260, LightSpMV2: 0.0020882 sec.
nonzero: 2600000, numRows: 10000, mean: 260, LightSpMV4: 0.00166841 sec.
nonzero: 2600000, numRows: 10000, mean: 260, LightSpMV8: 0.00158813 sec.
nonzero: 2600000, numRows: 10000, mean: 260, LightSpMV16: 0.0016975 sec.
nonzero: 2600000, numRows: 10000, mean: 260, LightSpMV32: 0.0020633 sec.
nonzero: 2610000, numRows: 10000, mean: 261, LightSpMV2: 0.00203176 sec.
nonzero: 2610000, numRows: 10000, mean: 261, LightSpMV4: 0.0016429 sec.
nonzero: 2610000, numRows: 10000, mean: 261, LightSpMV8: 0.00158662 sec.
nonzero: 2610000, numRows: 10000, mean: 261, LightSpMV16: 0.00168805 sec.
nonzero: 2610000, numRows: 10000, mean: 261, LightSpMV32: 0.00201969 sec.
nonzero: 2620000, numRows: 10000, mean: 262, LightSpMV2: 0.00200819 sec.
nonzero: 2620000, numRows: 10000, mean: 262, LightSpMV4: 0.00162816 sec.
nonzero: 2620000, numRows: 10000, mean: 262, LightSpMV8: 0.0015494 sec.
nonzero: 2620000, numRows: 10000, mean: 262, LightSpMV16: 0.00165215 sec.
nonzero: 2620000, numRows: 10000, mean: 262, LightSpMV32: 0.00198681 sec.
nonzero: 2630000, numRows: 10000, mean: 263, LightSpMV2: 0.00202036 sec.
nonzero: 2630000, numRows: 10000, mean: 263, LightSpMV4: 0.00163149 sec.
nonzero: 2630000, numRows: 10000, mean: 263, LightSpMV8: 0.00156805 sec.
nonzero: 2630000, numRows: 10000, mean: 263, LightSpMV16: 0.00167447 sec.
nonzero: 2630000, numRows: 10000, mean: 263, LightSpMV32: 0.00200786 sec.
nonzero: 2640000, numRows: 10000, mean: 264, LightSpMV2: 0.00202658 sec.
nonzero: 2640000, numRows: 10000, mean: 264, LightSpMV4: 0.00164234 sec.
nonzero: 2640000, numRows: 10000, mean: 264, LightSpMV8: 0.00156581 sec.
nonzero: 2640000, numRows: 10000, mean: 264, LightSpMV16: 0.00166633 sec.
nonzero: 2640000, numRows: 10000, mean: 264, LightSpMV32: 0.00199638 sec.
nonzero: 2650000, numRows: 10000, mean: 265, LightSpMV2: 0.00210198 sec.
nonzero: 2650000, numRows: 10000, mean: 265, LightSpMV4: 0.00169765 sec.
nonzero: 2650000, numRows: 10000, mean: 265, LightSpMV8: 0.00164062 sec.
nonzero: 2650000, numRows: 10000, mean: 265, LightSpMV16: 0.00175378 sec.
nonzero: 2650000, numRows: 10000, mean: 265, LightSpMV32: 0.00210672 sec.
nonzero: 2660000, numRows: 10000, mean: 266, LightSpMV2: 0.00206939 sec.
nonzero: 2660000, numRows: 10000, mean: 266, LightSpMV4: 0.00165897 sec.
nonzero: 2660000, numRows: 10000, mean: 266, LightSpMV8: 0.0015944 sec.
nonzero: 2660000, numRows: 10000, mean: 266, LightSpMV16: 0.00169991 sec.
nonzero: 2660000, numRows: 10000, mean: 266, LightSpMV32: 0.00203316 sec.
nonzero: 2670000, numRows: 10000, mean: 267, LightSpMV2: 0.00208053 sec.
nonzero: 2670000, numRows: 10000, mean: 267, LightSpMV4: 0.00167997 sec.
nonzero: 2670000, numRows: 10000, mean: 267, LightSpMV8: 0.00161011 sec.
nonzero: 2670000, numRows: 10000, mean: 267, LightSpMV16: 0.00171408 sec.
nonzero: 2670000, numRows: 10000, mean: 267, LightSpMV32: 0.00205433 sec.
nonzero: 2680000, numRows: 10000, mean: 268, LightSpMV2: 0.00208675 sec.
nonzero: 2680000, numRows: 10000, mean: 268, LightSpMV4: 0.00168736 sec.
nonzero: 2680000, numRows: 10000, mean: 268, LightSpMV8: 0.00161817 sec.
nonzero: 2680000, numRows: 10000, mean: 268, LightSpMV16: 0.00172023 sec.
nonzero: 2680000, numRows: 10000, mean: 268, LightSpMV32: 0.00206045 sec.
nonzero: 2690000, numRows: 10000, mean: 269, LightSpMV2: 0.00213636 sec.
nonzero: 2690000, numRows: 10000, mean: 269, LightSpMV4: 0.00172985 sec.
nonzero: 2690000, numRows: 10000, mean: 269, LightSpMV8: 0.00167591 sec.
nonzero: 2690000, numRows: 10000, mean: 269, LightSpMV16: 0.00178037 sec.
nonzero: 2690000, numRows: 10000, mean: 269, LightSpMV32: 0.00212344 sec.
nonzero: 2700000, numRows: 10000, mean: 270, LightSpMV2: 0.00217462 sec.
nonzero: 2700000, numRows: 10000, mean: 270, LightSpMV4: 0.00174353 sec.
nonzero: 2700000, numRows: 10000, mean: 270, LightSpMV8: 0.00168279 sec.
nonzero: 2700000, numRows: 10000, mean: 270, LightSpMV16: 0.00178517 sec.
nonzero: 2700000, numRows: 10000, mean: 270, LightSpMV32: 0.00213209 sec.
nonzero: 2710000, numRows: 10000, mean: 271, LightSpMV2: 0.00215573 sec.
nonzero: 2710000, numRows: 10000, mean: 271, LightSpMV4: 0.00173341 sec.
nonzero: 2710000, numRows: 10000, mean: 271, LightSpMV8: 0.00166871 sec.
nonzero: 2710000, numRows: 10000, mean: 271, LightSpMV16: 0.00177556 sec.
nonzero: 2710000, numRows: 10000, mean: 271, LightSpMV32: 0.00212568 sec.
nonzero: 2720000, numRows: 10000, mean: 272, LightSpMV2: 0.00215964 sec.
nonzero: 2720000, numRows: 10000, mean: 272, LightSpMV4: 0.0017314 sec.
nonzero: 2720000, numRows: 10000, mean: 272, LightSpMV8: 0.00167553 sec.
nonzero: 2720000, numRows: 10000, mean: 272, LightSpMV16: 0.00178688 sec.
nonzero: 2720000, numRows: 10000, mean: 272, LightSpMV32: 0.00212879 sec.
nonzero: 2730000, numRows: 10000, mean: 273, LightSpMV2: 0.00215195 sec.
nonzero: 2730000, numRows: 10000, mean: 273, LightSpMV4: 0.00171604 sec.
nonzero: 2730000, numRows: 10000, mean: 273, LightSpMV8: 0.00164081 sec.
nonzero: 2730000, numRows: 10000, mean: 273, LightSpMV16: 0.00174538 sec.
nonzero: 2730000, numRows: 10000, mean: 273, LightSpMV32: 0.00208645 sec.
nonzero: 2740000, numRows: 10000, mean: 274, LightSpMV2: 0.00214336 sec.
nonzero: 2740000, numRows: 10000, mean: 274, LightSpMV4: 0.00173482 sec.
nonzero: 2740000, numRows: 10000, mean: 274, LightSpMV8: 0.00167462 sec.
nonzero: 2740000, numRows: 10000, mean: 274, LightSpMV16: 0.00178289 sec.
nonzero: 2740000, numRows: 10000, mean: 274, LightSpMV32: 0.00211895 sec.
nonzero: 2750000, numRows: 10000, mean: 275, LightSpMV2: 0.00215521 sec.
nonzero: 2750000, numRows: 10000, mean: 275, LightSpMV4: 0.00175043 sec.
nonzero: 2750000, numRows: 10000, mean: 275, LightSpMV8: 0.00167515 sec.
nonzero: 2750000, numRows: 10000, mean: 275, LightSpMV16: 0.00177909 sec.
nonzero: 2750000, numRows: 10000, mean: 275, LightSpMV32: 0.0021352 sec.
nonzero: 2760000, numRows: 10000, mean: 276, LightSpMV2: 0.00214978 sec.
nonzero: 2760000, numRows: 10000, mean: 276, LightSpMV4: 0.00172167 sec.
nonzero: 2760000, numRows: 10000, mean: 276, LightSpMV8: 0.00165646 sec.
nonzero: 2760000, numRows: 10000, mean: 276, LightSpMV16: 0.00175864 sec.
nonzero: 2760000, numRows: 10000, mean: 276, LightSpMV32: 0.00209274 sec.
nonzero: 2770000, numRows: 10000, mean: 277, LightSpMV2: 0.00221366 sec.
nonzero: 2770000, numRows: 10000, mean: 277, LightSpMV4: 0.00178705 sec.
nonzero: 2770000, numRows: 10000, mean: 277, LightSpMV8: 0.00172923 sec.
nonzero: 2770000, numRows: 10000, mean: 277, LightSpMV16: 0.00182784 sec.
nonzero: 2770000, numRows: 10000, mean: 277, LightSpMV32: 0.00215524 sec.
nonzero: 2780000, numRows: 10000, mean: 278, LightSpMV2: 0.00219043 sec.
nonzero: 2780000, numRows: 10000, mean: 278, LightSpMV4: 0.00175256 sec.
nonzero: 2780000, numRows: 10000, mean: 278, LightSpMV8: 0.00168062 sec.
nonzero: 2780000, numRows: 10000, mean: 278, LightSpMV16: 0.00178256 sec.
nonzero: 2780000, numRows: 10000, mean: 278, LightSpMV32: 0.00212385 sec.
nonzero: 2790000, numRows: 10000, mean: 279, LightSpMV2: 0.00217687 sec.
nonzero: 2790000, numRows: 10000, mean: 279, LightSpMV4: 0.00175394 sec.
nonzero: 2790000, numRows: 10000, mean: 279, LightSpMV8: 0.00169075 sec.
nonzero: 2790000, numRows: 10000, mean: 279, LightSpMV16: 0.00179132 sec.
nonzero: 2790000, numRows: 10000, mean: 279, LightSpMV32: 0.00211986 sec.
nonzero: 2800000, numRows: 10000, mean: 280, LightSpMV2: 0.00221954 sec.
nonzero: 2800000, numRows: 10000, mean: 280, LightSpMV4: 0.00179911 sec.
nonzero: 2800000, numRows: 10000, mean: 280, LightSpMV8: 0.00173227 sec.
nonzero: 2800000, numRows: 10000, mean: 280, LightSpMV16: 0.00183681 sec.
nonzero: 2800000, numRows: 10000, mean: 280, LightSpMV32: 0.00217304 sec.
nonzero: 2810000, numRows: 10000, mean: 281, LightSpMV2: 0.00224806 sec.
nonzero: 2810000, numRows: 10000, mean: 281, LightSpMV4: 0.00181146 sec.
nonzero: 2810000, numRows: 10000, mean: 281, LightSpMV8: 0.00175663 sec.
nonzero: 2810000, numRows: 10000, mean: 281, LightSpMV16: 0.00186258 sec.
nonzero: 2810000, numRows: 10000, mean: 281, LightSpMV32: 0.00220718 sec.
nonzero: 2820000, numRows: 10000, mean: 282, LightSpMV2: 0.00218362 sec.
nonzero: 2820000, numRows: 10000, mean: 282, LightSpMV4: 0.00178556 sec.
nonzero: 2820000, numRows: 10000, mean: 282, LightSpMV8: 0.00172256 sec.
nonzero: 2820000, numRows: 10000, mean: 282, LightSpMV16: 0.00181999 sec.
nonzero: 2820000, numRows: 10000, mean: 282, LightSpMV32: 0.00214175 sec.
nonzero: 2830000, numRows: 10000, mean: 283, LightSpMV2: 0.0022169 sec.
nonzero: 2830000, numRows: 10000, mean: 283, LightSpMV4: 0.00178858 sec.
nonzero: 2830000, numRows: 10000, mean: 283, LightSpMV8: 0.00172985 sec.
nonzero: 2830000, numRows: 10000, mean: 283, LightSpMV16: 0.00182648 sec.
nonzero: 2830000, numRows: 10000, mean: 283, LightSpMV32: 0.00215481 sec.
nonzero: 2840000, numRows: 10000, mean: 284, LightSpMV2: 0.0022319 sec.
nonzero: 2840000, numRows: 10000, mean: 284, LightSpMV4: 0.00178376 sec.
nonzero: 2840000, numRows: 10000, mean: 284, LightSpMV8: 0.00171317 sec.
nonzero: 2840000, numRows: 10000, mean: 284, LightSpMV16: 0.00181858 sec.
nonzero: 2840000, numRows: 10000, mean: 284, LightSpMV32: 0.00217738 sec.
nonzero: 2850000, numRows: 10000, mean: 285, LightSpMV2: 0.00225812 sec.
nonzero: 2850000, numRows: 10000, mean: 285, LightSpMV4: 0.0018264 sec.
nonzero: 2850000, numRows: 10000, mean: 285, LightSpMV8: 0.00176363 sec.
nonzero: 2850000, numRows: 10000, mean: 285, LightSpMV16: 0.0018662 sec.
nonzero: 2850000, numRows: 10000, mean: 285, LightSpMV32: 0.00221456 sec.
nonzero: 2860000, numRows: 10000, mean: 286, LightSpMV2: 0.00226327 sec.
nonzero: 2860000, numRows: 10000, mean: 286, LightSpMV4: 0.00182676 sec.
nonzero: 2860000, numRows: 10000, mean: 286, LightSpMV8: 0.00175215 sec.
nonzero: 2860000, numRows: 10000, mean: 286, LightSpMV16: 0.00185842 sec.
nonzero: 2860000, numRows: 10000, mean: 286, LightSpMV32: 0.00220432 sec.
nonzero: 2870000, numRows: 10000, mean: 287, LightSpMV2: 0.00227379 sec.
nonzero: 2870000, numRows: 10000, mean: 287, LightSpMV4: 0.00183661 sec.
nonzero: 2870000, numRows: 10000, mean: 287, LightSpMV8: 0.00176138 sec.
nonzero: 2870000, numRows: 10000, mean: 287, LightSpMV16: 0.00186582 sec.
nonzero: 2870000, numRows: 10000, mean: 287, LightSpMV32: 0.00221248 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV2: 0.0022531 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV4: 0.00182212 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV8: 0.00175667 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV16: 0.00185809 sec.
nonzero: 2880000, numRows: 10000, mean: 288, LightSpMV32: 0.00220083 sec.
nonzero: 2890000, numRows: 10000, mean: 289, LightSpMV2: 0.00227277 sec.
nonzero: 2890000, numRows: 10000, mean: 289, LightSpMV4: 0.00184191 sec.
nonzero: 2890000, numRows: 10000, mean: 289, LightSpMV8: 0.00178295 sec.
nonzero: 2890000, numRows: 10000, mean: 289, LightSpMV16: 0.00187388 sec.
nonzero: 2890000, numRows: 10000, mean: 289, LightSpMV32: 0.00219854 sec.
nonzero: 2900000, numRows: 10000, mean: 290, LightSpMV2: 0.00230831 sec.
nonzero: 2900000, numRows: 10000, mean: 290, LightSpMV4: 0.00185707 sec.
nonzero: 2900000, numRows: 10000, mean: 290, LightSpMV8: 0.00178626 sec.
nonzero: 2900000, numRows: 10000, mean: 290, LightSpMV16: 0.00189197 sec.
nonzero: 2900000, numRows: 10000, mean: 290, LightSpMV32: 0.00224043 sec.
nonzero: 2910000, numRows: 10000, mean: 291, LightSpMV2: 0.00228691 sec.
nonzero: 2910000, numRows: 10000, mean: 291, LightSpMV4: 0.00186007 sec.
nonzero: 2910000, numRows: 10000, mean: 291, LightSpMV8: 0.00179421 sec.
nonzero: 2910000, numRows: 10000, mean: 291, LightSpMV16: 0.0018889 sec.
nonzero: 2910000, numRows: 10000, mean: 291, LightSpMV32: 0.00221765 sec.
nonzero: 2920000, numRows: 10000, mean: 292, LightSpMV2: 0.00229853 sec.
nonzero: 2920000, numRows: 10000, mean: 292, LightSpMV4: 0.0018489 sec.
nonzero: 2920000, numRows: 10000, mean: 292, LightSpMV8: 0.00177577 sec.
nonzero: 2920000, numRows: 10000, mean: 292, LightSpMV16: 0.00188182 sec.
nonzero: 2920000, numRows: 10000, mean: 292, LightSpMV32: 0.00222299 sec.
nonzero: 2930000, numRows: 10000, mean: 293, LightSpMV2: 0.00236752 sec.
nonzero: 2930000, numRows: 10000, mean: 293, LightSpMV4: 0.00188708 sec.
nonzero: 2930000, numRows: 10000, mean: 293, LightSpMV8: 0.00182703 sec.
nonzero: 2930000, numRows: 10000, mean: 293, LightSpMV16: 0.00192874 sec.
nonzero: 2930000, numRows: 10000, mean: 293, LightSpMV32: 0.00225707 sec.
nonzero: 2940000, numRows: 10000, mean: 294, LightSpMV2: 0.00233818 sec.
nonzero: 2940000, numRows: 10000, mean: 294, LightSpMV4: 0.00187269 sec.
nonzero: 2940000, numRows: 10000, mean: 294, LightSpMV8: 0.00180676 sec.
nonzero: 2940000, numRows: 10000, mean: 294, LightSpMV16: 0.00191159 sec.
nonzero: 2940000, numRows: 10000, mean: 294, LightSpMV32: 0.00225602 sec.
nonzero: 2950000, numRows: 10000, mean: 295, LightSpMV2: 0.00231826 sec.
nonzero: 2950000, numRows: 10000, mean: 295, LightSpMV4: 0.00187365 sec.
nonzero: 2950000, numRows: 10000, mean: 295, LightSpMV8: 0.00180085 sec.
nonzero: 2950000, numRows: 10000, mean: 295, LightSpMV16: 0.00190194 sec.
nonzero: 2950000, numRows: 10000, mean: 295, LightSpMV32: 0.00224479 sec.
nonzero: 2960000, numRows: 10000, mean: 296, LightSpMV2: 0.00232076 sec.
nonzero: 2960000, numRows: 10000, mean: 296, LightSpMV4: 0.00187464 sec.
nonzero: 2960000, numRows: 10000, mean: 296, LightSpMV8: 0.00180906 sec.
nonzero: 2960000, numRows: 10000, mean: 296, LightSpMV16: 0.00190889 sec.
nonzero: 2960000, numRows: 10000, mean: 296, LightSpMV32: 0.00223574 sec.
nonzero: 2970000, numRows: 10000, mean: 297, LightSpMV2: 0.00238366 sec.
nonzero: 2970000, numRows: 10000, mean: 297, LightSpMV4: 0.00192585 sec.
nonzero: 2970000, numRows: 10000, mean: 297, LightSpMV8: 0.0018553 sec.
nonzero: 2970000, numRows: 10000, mean: 297, LightSpMV16: 0.00196168 sec.
nonzero: 2970000, numRows: 10000, mean: 297, LightSpMV32: 0.00231628 sec.
nonzero: 2980000, numRows: 10000, mean: 298, LightSpMV2: 0.00239358 sec.
nonzero: 2980000, numRows: 10000, mean: 298, LightSpMV4: 0.00192289 sec.
nonzero: 2980000, numRows: 10000, mean: 298, LightSpMV8: 0.00185495 sec.
nonzero: 2980000, numRows: 10000, mean: 298, LightSpMV16: 0.00195913 sec.
nonzero: 2980000, numRows: 10000, mean: 298, LightSpMV32: 0.0023252 sec.
nonzero: 2990000, numRows: 10000, mean: 299, LightSpMV2: 0.00235114 sec.
nonzero: 2990000, numRows: 10000, mean: 299, LightSpMV4: 0.0019094 sec.
nonzero: 2990000, numRows: 10000, mean: 299, LightSpMV8: 0.00184186 sec.
nonzero: 2990000, numRows: 10000, mean: 299, LightSpMV16: 0.00193483 sec.
nonzero: 2990000, numRows: 10000, mean: 299, LightSpMV32: 0.00225747 sec.
nonzero: 3000000, numRows: 10000, mean: 300, LightSpMV2: 0.00237909 sec.
nonzero: 3000000, numRows: 10000, mean: 300, LightSpMV4: 0.00192227 sec.
nonzero: 3000000, numRows: 10000, mean: 300, LightSpMV8: 0.00185615 sec.
nonzero: 3000000, numRows: 10000, mean: 300, LightSpMV16: 0.00195303 sec.
nonzero: 3000000, numRows: 10000, mean: 300, LightSpMV32: 0.00228794 sec.
nonzero: 3010000, numRows: 10000, mean: 301, LightSpMV2: 0.00239192 sec.
nonzero: 3010000, numRows: 10000, mean: 301, LightSpMV4: 0.00193237 sec.
nonzero: 3010000, numRows: 10000, mean: 301, LightSpMV8: 0.00186206 sec.
nonzero: 3010000, numRows: 10000, mean: 301, LightSpMV16: 0.00195873 sec.
nonzero: 3010000, numRows: 10000, mean: 301, LightSpMV32: 0.00228271 sec.
nonzero: 3020000, numRows: 10000, mean: 302, LightSpMV2: 0.00238465 sec.
nonzero: 3020000, numRows: 10000, mean: 302, LightSpMV4: 0.00192419 sec.
nonzero: 3020000, numRows: 10000, mean: 302, LightSpMV8: 0.00185415 sec.
nonzero: 3020000, numRows: 10000, mean: 302, LightSpMV16: 0.00195703 sec.
nonzero: 3020000, numRows: 10000, mean: 302, LightSpMV32: 0.00229107 sec.
nonzero: 3030000, numRows: 10000, mean: 303, LightSpMV2: 0.00238846 sec.
nonzero: 3030000, numRows: 10000, mean: 303, LightSpMV4: 0.00193163 sec.
nonzero: 3030000, numRows: 10000, mean: 303, LightSpMV8: 0.00186798 sec.
nonzero: 3030000, numRows: 10000, mean: 303, LightSpMV16: 0.00196375 sec.
nonzero: 3030000, numRows: 10000, mean: 303, LightSpMV32: 0.00229 sec.
nonzero: 3040000, numRows: 10000, mean: 304, LightSpMV2: 0.00239428 sec.
nonzero: 3040000, numRows: 10000, mean: 304, LightSpMV4: 0.00192668 sec.
nonzero: 3040000, numRows: 10000, mean: 304, LightSpMV8: 0.00186462 sec.
nonzero: 3040000, numRows: 10000, mean: 304, LightSpMV16: 0.00196456 sec.
nonzero: 3040000, numRows: 10000, mean: 304, LightSpMV32: 0.00228402 sec.
nonzero: 3050000, numRows: 10000, mean: 305, LightSpMV2: 0.00243405 sec.
nonzero: 3050000, numRows: 10000, mean: 305, LightSpMV4: 0.00195834 sec.
nonzero: 3050000, numRows: 10000, mean: 305, LightSpMV8: 0.00188208 sec.
nonzero: 3050000, numRows: 10000, mean: 305, LightSpMV16: 0.00197995 sec.
nonzero: 3050000, numRows: 10000, mean: 305, LightSpMV32: 0.00230268 sec.
nonzero: 3060000, numRows: 10000, mean: 306, LightSpMV2: 0.00243458 sec.
nonzero: 3060000, numRows: 10000, mean: 306, LightSpMV4: 0.00196748 sec.
nonzero: 3060000, numRows: 10000, mean: 306, LightSpMV8: 0.00189947 sec.
nonzero: 3060000, numRows: 10000, mean: 306, LightSpMV16: 0.00199618 sec.
nonzero: 3060000, numRows: 10000, mean: 306, LightSpMV32: 0.00232498 sec.
nonzero: 3070000, numRows: 10000, mean: 307, LightSpMV2: 0.00241264 sec.
nonzero: 3070000, numRows: 10000, mean: 307, LightSpMV4: 0.00193975 sec.
nonzero: 3070000, numRows: 10000, mean: 307, LightSpMV8: 0.00187609 sec.
nonzero: 3070000, numRows: 10000, mean: 307, LightSpMV16: 0.00197576 sec.
nonzero: 3070000, numRows: 10000, mean: 307, LightSpMV32: 0.00230126 sec.
nonzero: 3080000, numRows: 10000, mean: 308, LightSpMV2: 0.00243821 sec.
nonzero: 3080000, numRows: 10000, mean: 308, LightSpMV4: 0.00196487 sec.
nonzero: 3080000, numRows: 10000, mean: 308, LightSpMV8: 0.00189198 sec.
nonzero: 3080000, numRows: 10000, mean: 308, LightSpMV16: 0.00199048 sec.
nonzero: 3080000, numRows: 10000, mean: 308, LightSpMV32: 0.00232245 sec.
nonzero: 3090000, numRows: 10000, mean: 309, LightSpMV2: 0.00247416 sec.
