
########################################################################
#      Date:           Tue 27 Dec 2022 01:22:54 AM PST
#    Job ID:           2106084.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 512
Supported Sub-Group Sizes : 8 16 32 
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV2: 0.0167598 sec.
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV4: 0.0126237 sec.
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV8: 0.0117437 sec.
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV16: 0.0112474 sec.
nonzero: 20480000, numRows: 10000, mean: 2048, LightSpMV32: 0.0114377 sec.
nonzero: 21120000, numRows: 10000, mean: 2112, LightSpMV2: 0.0171694 sec.
nonzero: 21120000, numRows: 10000, mean: 2112, LightSpMV4: 0.0130179 sec.
nonzero: 21120000, numRows: 10000, mean: 2112, LightSpMV8: 0.0121042 sec.
nonzero: 21120000, numRows: 10000, mean: 2112, LightSpMV16: 0.0115804 sec.
nonzero: 21120000, numRows: 10000, mean: 2112, LightSpMV32: 0.0117361 sec.
nonzero: 21760000, numRows: 10000, mean: 2176, LightSpMV2: 0.0178255 sec.
nonzero: 21760000, numRows: 10000, mean: 2176, LightSpMV4: 0.013584 sec.
nonzero: 21760000, numRows: 10000, mean: 2176, LightSpMV8: 0.0126525 sec.
nonzero: 21760000, numRows: 10000, mean: 2176, LightSpMV16: 0.012114 sec.
nonzero: 21760000, numRows: 10000, mean: 2176, LightSpMV32: 0.0122007 sec.
nonzero: 22400000, numRows: 10000, mean: 2240, LightSpMV2: 0.0180941 sec.
nonzero: 22400000, numRows: 10000, mean: 2240, LightSpMV4: 0.0137513 sec.
nonzero: 22400000, numRows: 10000, mean: 2240, LightSpMV8: 0.0128272 sec.
nonzero: 22400000, numRows: 10000, mean: 2240, LightSpMV16: 0.0122731 sec.
nonzero: 22400000, numRows: 10000, mean: 2240, LightSpMV32: 0.012402 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV2: 0.0185665 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV4: 0.0141379 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV8: 0.0131646 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV16: 0.0126086 sec.
nonzero: 23040000, numRows: 10000, mean: 2304, LightSpMV32: 0.012738 sec.
nonzero: 23680000, numRows: 10000, mean: 2368, LightSpMV2: 0.0190532 sec.
nonzero: 23680000, numRows: 10000, mean: 2368, LightSpMV4: 0.0145279 sec.
nonzero: 23680000, numRows: 10000, mean: 2368, LightSpMV8: 0.0135226 sec.
nonzero: 23680000, numRows: 10000, mean: 2368, LightSpMV16: 0.0129687 sec.
nonzero: 23680000, numRows: 10000, mean: 2368, LightSpMV32: 0.0130571 sec.
nonzero: 24320000, numRows: 10000, mean: 2432, LightSpMV2: 0.0196584 sec.
nonzero: 24320000, numRows: 10000, mean: 2432, LightSpMV4: 0.0149439 sec.
nonzero: 24320000, numRows: 10000, mean: 2432, LightSpMV8: 0.0139412 sec.
nonzero: 24320000, numRows: 10000, mean: 2432, LightSpMV16: 0.0132808 sec.
nonzero: 24320000, numRows: 10000, mean: 2432, LightSpMV32: 0.0134022 sec.
nonzero: 24960000, numRows: 10000, mean: 2496, LightSpMV2: 0.0201362 sec.
nonzero: 24960000, numRows: 10000, mean: 2496, LightSpMV4: 0.0152718 sec.
nonzero: 24960000, numRows: 10000, mean: 2496, LightSpMV8: 0.0143519 sec.
nonzero: 24960000, numRows: 10000, mean: 2496, LightSpMV16: 0.0136364 sec.
nonzero: 24960000, numRows: 10000, mean: 2496, LightSpMV32: 0.0137423 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV2: 0.0206827 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV4: 0.0157333 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV8: 0.0147357 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV16: 0.0141659 sec.
nonzero: 25600000, numRows: 10000, mean: 2560, LightSpMV32: 0.0142453 sec.
nonzero: 26240000, numRows: 10000, mean: 2624, LightSpMV2: 0.0211261 sec.
nonzero: 26240000, numRows: 10000, mean: 2624, LightSpMV4: 0.0160113 sec.
nonzero: 26240000, numRows: 10000, mean: 2624, LightSpMV8: 0.0150499 sec.
nonzero: 26240000, numRows: 10000, mean: 2624, LightSpMV16: 0.0143248 sec.
nonzero: 26240000, numRows: 10000, mean: 2624, LightSpMV32: 0.0144051 sec.
nonzero: 26880000, numRows: 10000, mean: 2688, LightSpMV2: 0.0215521 sec.
nonzero: 26880000, numRows: 10000, mean: 2688, LightSpMV4: 0.0164131 sec.
nonzero: 26880000, numRows: 10000, mean: 2688, LightSpMV8: 0.0153644 sec.
nonzero: 26880000, numRows: 10000, mean: 2688, LightSpMV16: 0.0146742 sec.
nonzero: 26880000, numRows: 10000, mean: 2688, LightSpMV32: 0.014745 sec.
nonzero: 27520000, numRows: 10000, mean: 2752, LightSpMV2: 0.0220122 sec.
nonzero: 27520000, numRows: 10000, mean: 2752, LightSpMV4: 0.0168439 sec.
nonzero: 27520000, numRows: 10000, mean: 2752, LightSpMV8: 0.0157998 sec.
nonzero: 27520000, numRows: 10000, mean: 2752, LightSpMV16: 0.0150308 sec.
nonzero: 27520000, numRows: 10000, mean: 2752, LightSpMV32: 0.0150892 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV2: 0.0228854 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV4: 0.017476 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV8: 0.0165573 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV16: 0.0156824 sec.
nonzero: 28160000, numRows: 10000, mean: 2816, LightSpMV32: 0.0156847 sec.
nonzero: 28800000, numRows: 10000, mean: 2880, LightSpMV2: 0.0231721 sec.
