
########################################################################
#      Date:           Tue 27 Dec 2022 09:22:43 PM PST
#    Job ID:           2107335.v-qsvr-1.aidevcloud
#      User:           u173946
# Resources:           cput=75:00:00,neednodes=1:gpu:ppn=2,nodes=1:gpu:ppn=2,walltime=06:00:00
########################################################################

## u173946 is compiling DPCPP_Essentials Module1 -- oneAPI Intro sample - 1 of 1 simple.cpp
Device: Intel(R) UHD Graphics [0x9a60]
local_mem_size: 65536
Compute units: 32
Work group size: 32
Supported Sub-Group Sizes : 8 16 32 
nonzero: 10000, numRows: 10000, mean: 1, LightSpMV: 0.000147693 sec.
nonzero: 20000, numRows: 10000, mean: 2, LightSpMV: 0.00015305 sec.
nonzero: 30000, numRows: 10000, mean: 3, LightSpMV: 0.000159098 sec.
nonzero: 40000, numRows: 10000, mean: 4, LightSpMV: 0.000165083 sec.
nonzero: 50000, numRows: 10000, mean: 5, LightSpMV: 0.000173957 sec.
nonzero: 60000, numRows: 10000, mean: 6, LightSpMV: 0.00018021 sec.
nonzero: 70000, numRows: 10000, mean: 7, LightSpMV: 0.000186109 sec.
nonzero: 80000, numRows: 10000, mean: 8, LightSpMV: 0.00019473 sec.
nonzero: 90000, numRows: 10000, mean: 9, LightSpMV: 0.000202284 sec.
nonzero: 100000, numRows: 10000, mean: 10, LightSpMV: 0.000209316 sec.
nonzero: 110000, numRows: 10000, mean: 11, LightSpMV: 0.000217933 sec.
nonzero: 120000, numRows: 10000, mean: 12, LightSpMV: 0.000224161 sec.
nonzero: 130000, numRows: 10000, mean: 13, LightSpMV: 0.000235569 sec.
nonzero: 140000, numRows: 10000, mean: 14, LightSpMV: 0.000243717 sec.
nonzero: 150000, numRows: 10000, mean: 15, LightSpMV: 0.000252702 sec.
nonzero: 160000, numRows: 10000, mean: 16, LightSpMV: 0.000260642 sec.
nonzero: 170000, numRows: 10000, mean: 17, LightSpMV: 0.000270637 sec.
nonzero: 180000, numRows: 10000, mean: 18, LightSpMV: 0.000277393 sec.
